id,name,published_at,employer_name,alternate_url,level
130121810,"Специалист приемной кампании/Координатор поступления в вуз (Data science, product manager, backend)",2026-02-03T11:35:20+0300,МФТИ,https://hh.ru/vacancy/130121810,Unknown
130335324,Стажер-аналитик по ценообразованию,2026-02-10T20:02:03+0300,Б1 (B1),https://hh.ru/vacancy/130335324,Intern
130591926,Старший менеджер по работе с поставщиками и клиентами,2026-02-19T08:59:01+0300,E-PROMO,https://hh.ru/vacancy/130591926,Senior
130694338,Специалист по нетопливным продажам,2026-02-24T12:18:12+0300,Газпромнефть-Региональные продажи,https://hh.ru/vacancy/130694338,Unknown
130751818,Функциональный архитектор 1С: MDM,2026-02-25T13:18:28+0300,LIAN,https://hh.ru/vacancy/130751818,Unknown
128974247,Эксперт Data Science,2026-02-05T15:33:55+0300,МТС Банк,https://hh.ru/vacancy/128974247,Unknown
130412258,Data Scientist Middle+/Senior,2026-02-12T19:17:59+0300,НЕЙРОВИЖН,https://hh.ru/vacancy/130412258,Senior
130673639,Data Engineer (SafeHub),2026-02-24T05:15:30+0300,СБЕР,https://hh.ru/vacancy/130673639,Unknown
130743609,"Менеджер по внедрению и обучению ИИ‑решениям (промышленность), г. Тобольск",2026-02-25T11:46:11+0300,"СИБУР, Группа компаний",https://hh.ru/vacancy/130743609,Unknown
129370191,Data Scientist / ML-инженер (алгоритмы и оптимизация),2026-02-12T15:17:30+0300,Rubbles,https://hh.ru/vacancy/129370191,Unknown
130473072,Data Scientist,2026-02-16T10:31:44+0300,COMTEK Inc.,https://hh.ru/vacancy/130473072,Unknown
130315901,Head of Analytics,2026-02-10T11:33:43+0300,Doumo,https://hh.ru/vacancy/130315901,Unknown
129656089,Junior/Middle Data Scientist (Classic ML / LLM),2026-02-18T17:10:10+0300,СБЕР,https://hh.ru/vacancy/129656089,Middle
129969110,"Стажер - Data Scientist, Ozon Банк",2026-01-28T15:58:13+0300,Ozon,https://hh.ru/vacancy/129969110,Intern
130494992,Младший аккаунт менеджер,2026-02-16T15:47:22+0300,КРОК,https://hh.ru/vacancy/130494992,Junior
